country_or_territory,population,peak_pubs,ratio_1_publisher_to,av_pubs,inc_over,no_bptzd,av_pio_pubs,no_of_congs,memorial_attendance
Ukraine,40498000,128614,317,127598,,2344,17561,1502,230656
United States of America,331003000,1242976,273,1210950,,24462,185616,12355,2068674
Uruguay,3474000,12081,291,11929,,211,1408,150,24153
Vanuatu,307000,1001,432,710,2,26,116,17,2234
Venezuela,28436000,136542,214,132812,-3,6489,30340,1734,319962
Virgin Islands British,30000,225,142,212,-7,,31,4,589
Virgin Islands U.S.,104000,561,197,527,-5,5,108,8,1034
Wallis &amp; Futuna Islands,11000,67,186,59,11,,3,1,231
Yap,12000,33,400,30,-12,2,10,1,93
Zambia,17861000,225139,89,200287,-3,13539,18396,3528,711397
Zimbabwe,14911000,49648,332,44854,-7,1840,7452,1395,118029
33 Other Lands,,212924,,207891,-1.4,5732,42137,2967,306281
